channel_name,subscriber_count,video_id,video_title,video_description,published_date,view_count,like_count,comment_text,comment_likes,comment_date
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,애쉬아워 제품들 오랜만에 보네요. 만듦새도 좋고 디테일도 괜찮았던 브랜드로 기억하는데 역시나 이쁘네요~ 특히 가디건이 눈에 많이 들어왔는데 이렇게 빈티지한 감성의 금장 단추를 오랜만에 보니 더 매력적이네요 ㅎ<br>최근 트렌드에도 잘 맞으면서 고급스러운 느낌을 주고 활용도도 높은 아이템이라서 꼭 입어보고 싶네요^^,0,2024-09-29T20:48:54Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,데릭님 추천 바지 덕분에 다양한 코디를 하고 다닙니다!!! <br>다양한 옷 영상 앞으로도 기대하겠습니다<br>항상 좋은 하루 보내세요!!,0,2024-09-29T14:56:50Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,와...가디건 진짜 너무 이쁘다...일단 허리 라인이 딱 드러나는 것부터가 너무 꾸민듯한 느낌이 나서 더 끌리는듯,0,2024-09-29T15:50:17Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,금장 포인트가 확실히 눈이 가네요<br>클래식함과 트렌디한 라운드넥의 조화가 잘 어우러진 제품이라 이번 가을 한끗 다른 포인트로 좋겠어요ㅎㅎ,0,2024-09-29T23:11:02Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,초창기부터 봐왔는데 요즘 잘되시는 모습보니 신기하네요<br><br>유튜브 하는 친구가 성장하는 모습을 보는 것 같습니다<br><br>입는 스타일도 한결 같으신게 점점 본인의 색을 뚜렷하게 잡아나가고 계신 것 같아요!!<br><br>응원합니다🎉,0,2024-09-29T21:14:33Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,애쉬아워 좋아하는 브랜드인데 이렇게 데릭님이 또 예쁘게 코디해주셔서 또 눈에 가네요 니트 자체가 디테일들이 많아서 좋은데 색감까지 예뻐서 더 좋아요🧏🏻‍♂️,0,2024-09-29T16:18:30Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,웬만해선 댓글 안다는데 이번 제품들은 정말 미쳤네요 브이넥니트는 바로 구매했습니당,0,2024-09-29T14:09:19Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,요즘들어 구독자이벤트가 엄청많네요 좋은옷 브랜드도 알게되고 감사합니다 그리고 저번에 지오다노 티가 다른 흰티와 다르게 기장감이 딱맞는경향이 있어서 더좋아요 너무맘에들어요 크롭은아닌데 원래 나한테 맞는기장감이랄까? 다른 요즘옷들은 기장감을 바지든 티든 뭐든 다 길게가서 너무 힘드러요,0,2024-09-29T15:21:57Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,가격대도 너무 좋아서 더 좋은 것 같아요!! 좋은 브랜드 소개해주셔서 감사합니다!!,0,2024-09-29T21:37:17Z
데릭derek,35200,e9lEJnyjvQU,"와, 디테일 뭐야..이게 가을 코디지 (feat. 구독자이벤트)","안녕하세요. 데릭입니다! 오늘의 가을 브랜드, 애쉬아워입니다! [애쉬아워 무신사] ...",2024-09-29T13:00:42Z,4691,136,매번 좋은 옷들과 요즘에 좋은 이벤트들 많이해주셔서 너무 감사해요😂,0,2024-09-30T08:47:24Z
